feature,chunk_1,chunk_2,chunk_gpt3,chunk_gpt4,llama_3_8b,llama_3_8b_instruct,importance
f_25_present_participle,1.8624992350183935,1.76942259993927,3.434979599597339,4.036906641985096,0.8276782763032126,2.003724813269084,1930.4810503631447
f_42_adverbs,61.75956407685114,64.90550289481006,0.70455638439131,0.9464280830367643,1.0517721052567544,0.7589400057919274,1271.2924774624767
f_39_prepositions,102.83129580059465,100.07742221823146,1.2142838567511083,1.153346763669785,0.857915765032481,0.975088593579869,1014.7369205558064
f_64_phrasal_coordination,6.686752062044428,6.4767758641170365,2.1620966243143154,1.9122185858994591,0.822436503111114,1.950736431548598,1010.6840941015994
f_46_downtoners,2.041394124744167,2.0640755563311166,0.7087629907061782,1.5383293051586409,0.6977733916877151,0.532483509016714,947.7911717367621
f_29_that_subj,2.673361259902733,2.542645682128542,2.1785499116341347,2.1739683069679137,0.7772244197626649,1.8640614127929733,929.2874633350582
f_24_infinitives,15.752279227075745,16.90721233701135,1.0549593554343242,0.7836925376739058,1.2166744810334926,1.4198863452047112,814.4760436322391
f_40_adj_attr,48.279020335905464,45.77469263351623,1.2586743858794054,1.5993655456936213,0.7874476300262727,1.0003942706366689,800.3419099950976
f_14_nominalizations,16.139535521104516,16.076955780718613,1.9179483455819493,2.0737178752210887,0.903267988447009,1.4650103058708588,770.1055921047852
f_44_mean_word_length,4.611042919636551,4.565450680162483,1.0729765108442761,1.1369718745122643,0.9852496470587795,1.0075498190425753,716.0017611436607
f_16_other_nouns,269.92123057854377,257.3164132074525,0.9737648937285079,0.9691218235121671,0.9177111182008586,0.8789109731939615,706.7972536194376
f_65_clausal_coordination,9.178281300316291,9.91431712109228,0.918314300388249,0.6114687250972481,1.1482353604309083,1.4659709851511684,693.6259242093712
f_51_demonstratives,6.593428707663008,6.565620431130584,1.0330229429845752,1.455996170474539,0.7663188288398404,0.8102543500989781,676.9765594230932
f_21_that_verb_comp,2.307201031673573,2.4883862631061864,1.017261594742271,0.6791306622413495,1.6902474931775089,1.6542525249669038,668.4480262733722
f_59_contractions,15.486213918432046,16.565088001370782,0.47438237493044794,0.25284198493397547,1.5358029984986612,1.2702258207773427,555.3167961119987
f_38_other_adv_sub,5.2170977690913425,5.419434556341236,1.5279255706618549,1.3449621243133707,0.9286743259433898,1.3052853723956293,552.1812258208676
f_19_be_main_verb,27.1608907651898,27.982716346926512,0.7216881001733978,0.5943607135348694,1.1084175200314415,1.082792381222505,539.0827192884416
f_35_because,0.9926613231401631,1.1625453384103108,0.21783561050657413,0.18552401867485951,1.48668723420536,0.346424409586525,536.761083123023
f_37_if,2.2782814358828136,2.7088471464774826,0.37856100588067626,0.4490780232937334,1.2799648148978324,0.5108260159391459,532.0836929292464
f_12_proverb_do,2.6680008675523545,3.0638635978571807,0.3767906096812528,0.2373646908534808,1.2015899068192188,0.5534316089544198,529.2164981783982
f_55_verb_public,6.678368723980658,7.34094114800405,0.48176022534535595,0.6081269649239393,1.177773827321531,0.6423361148196772,522.8060338352753
f_27_past_participle_whiz,1.7339741395663406,1.6402478306461863,1.5793621638589481,2.061985300255992,1.1514211603807065,0.6398752448779473,518.7195757753922
f_01_past_tense,35.12856498027804,37.23966682283144,0.8689601575890905,0.752700958209717,1.0517259171227118,0.8441506360292728,517.4700995901686
f_67_neg_analytic,8.519754713011613,9.72882275208384,0.5762895816625625,0.6880459175784783,1.1923270544720985,0.803394219458309,515.7767097499608
f_49_emphatics,7.86215743921629,8.2220910408486,0.6677185908029247,0.8694042746390381,0.8342345553848182,0.9676265469644687,505.56752751542075
f_02_perfect_aspect,7.181547929255644,6.649722758604194,0.8787098155623038,0.5472784229608022,0.9482375374217037,1.1132721484815369,453.23462203291143
f_17_agentless_passives,6.961272770347516,7.209593080425731,0.7176363424309081,0.7238115586924551,0.9592015493845899,1.0005001593699367,432.46520376946893
f_15_gerunds,3.36603785034531,3.322981808285708,1.3204321578635256,1.4285630831545855,0.8407219657796821,1.1280779874592624,406.180202585798
f_56_verb_private,14.923570650575595,15.928218785274998,0.9276766620835807,0.8202092403100296,1.2945308597011451,1.1843764185080083,396.2627991653955
f_41_adj_pred,5.838210830712029,6.218158737579637,1.0805477553381235,0.8424708940328992,1.6678478629773028,1.3844120484300229,394.33301129822644
f_63_split_auxiliary,2.8914132341715435,2.981164664348594,0.9255899225440407,1.0216675849953425,0.986568106786684,1.346264902532761,391.9382246587001
f_54_modal_predictive,5.897659747037093,6.396264174939733,0.6644845625997268,0.42994763567697525,1.1778739247796801,0.8826724163368248,387.9605939831139
f_20_existential_there,1.8595329966998246,2.0535816812403747,0.5797478345360029,0.5332315533919707,1.2072758755662396,0.518214117417599,387.79194661147
f_03_present_tense,55.072310105653735,56.71259530691002,0.7623932661100846,0.8215080202651784,1.2365185110277654,0.9992722648016372,373.2367845426256
f_52_modal_possibility,5.2716245319848145,5.876210864472258,1.1138837533288146,1.0848845518713888,1.0692532322353505,1.1645776588913,364.9959939155334
f_08_third_person_pronouns,26.27047906753286,28.148364911400094,1.0325607063416538,0.8924814128763023,1.2224850330907826,1.0217340242798858,361.37569354672445
f_48_amplifiers,1.5420208351492928,1.7478830845876492,0.43072935956718783,0.636746355850333,0.8323372411604374,0.4144722455242845,352.69622994471086
f_09_pronoun_it,11.675422254053826,12.056882213813576,0.8642624156483911,0.9511363150224952,1.1526114830358662,1.0976720820656671,350.27904796658095
f_34_sentence_relatives,0.9128951360717695,0.9700687215256145,0.30804230431316515,0.811726708844478,1.1161738843297275,0.9379785818020565,348.64163683730254
